GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
r,org.molgenis.r,RScriptExecutor,90,262,9,11,19,57,8,13,0,11
r,org.molgenis.r,RScriptRunner,57,0,4,0,14,0,6,0,4,0
r,org.molgenis.r,OpenCpuSettingsImpl.Meta,79,0,0,0,24,0,2,0,2,0
r,org.molgenis.r,MolgenisRController,59,0,4,0,8,0,4,0,2,0
r,org.molgenis.r,OpenCpuSettingsImpl,21,0,0,0,6,0,5,0,5,0
