GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
settings-ui,org.molgenis.settings.controller,SettingsI18nConfig,8,0,0,0,2,0,2,0,2,0
settings-ui,org.molgenis.settings.controller,SettingsController,0,13,0,0,0,4,0,2,0,2
