2018-05-30 11:11:01,191 |  INFO  | 3094 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/places/{id}/addresses],methods=[GET]}" onto public java.util.List<net.contargo.iris.address.dto.AddressDto> net.contargo.iris.address.api.AddressApiController.addressesWherePlaceIsIn(long)
2018-05-30 11:11:01,192 |  INFO  | 3095 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/osmaddresses/{id}],methods=[GET]}" onto public net.contargo.iris.address.api.ListOfAddressListsResponse net.contargo.iris.address.api.AddressApiController.addressByOsmId(long)
2018-05-30 11:11:01,192 |  INFO  | 3095 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/reversegeocode/{lat}:{lon}/],methods=[GET]}" onto public net.contargo.iris.address.api.AddressResponse net.contargo.iris.address.api.AddressApiController.addressByGeolocation(java.math.BigDecimal,java.math.BigDecimal) throws java.lang.NoSuchMethodException
2018-05-30 11:11:01,194 |  INFO  | 3097 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addresses/bestmatch],methods=[GET]}" onto public org.springframework.http.ResponseEntity<net.contargo.iris.address.service.BestMatch> net.contargo.iris.address.api.BestMatchApiController.bestMatch(java.lang.String,java.lang.String,java.lang.String)
2018-05-30 11:11:01,197 |  INFO  | 3100 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses],methods=[GET],params=[lat && lon]}" onto public net.contargo.iris.address.api.ListOfAddressListsResponse net.contargo.iris.address.staticsearch.api.StaticAddressApiController.getStaticAddressByGeolocation(java.math.BigDecimal,java.math.BigDecimal)
2018-05-30 11:11:01,197 |  INFO  | 3100 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses],methods=[GET],params=[postalCode && city && country]}" onto public java.util.Collection<net.contargo.iris.address.dto.AddressDto> net.contargo.iris.address.staticsearch.api.StaticAddressApiController.getByPostalCodeAndCityAndCountry(java.lang.String,java.lang.String,java.lang.String)
2018-05-30 11:11:01,198 |  INFO  | 3101 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/staticaddresses],methods=[GET],params=[lat && lon && distance]}" onto public java.util.List<net.contargo.iris.address.staticsearch.dto.StaticAddressDto> net.contargo.iris.address.staticsearch.api.StaticAddressApiController.staticAddressesByBoundingBox(java.math.BigDecimal,java.math.BigDecimal,java.lang.Double)
2018-05-30 11:11:01,200 |  INFO  | 3103 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/],methods=[GET]}" onto public net.contargo.iris.api.discover.DiscoverResponse net.contargo.iris.api.discover.DiscoverPublicApiController.discover() throws java.lang.NoSuchMethodException
2018-05-30 11:11:01,204 |  INFO  | 3107 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/countries],methods=[GET]}" onto public net.contargo.iris.countries.api.CountriesResponse net.contargo.iris.countries.api.CountriesApiController.countries()
2018-05-30 11:11:01,205 |  INFO  | 3108 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/airlineDistance],methods=[GET]}" onto public net.contargo.iris.gis.api.AirlineDistanceResponse net.contargo.iris.gis.api.AirlineDistanceApiController.airlineDistance(java.lang.String,java.lang.String,java.lang.String,java.lang.String)
2018-05-30 11:11:01,210 |  INFO  | 3113 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections],methods=[GET],params=[terminalUid],produces=[application/json]}" onto public java.util.Collection<net.contargo.iris.connection.dto.SimpleMainRunConnectionDto> net.contargo.iris.connection.api.MainRunConnectionApiController.getConnectionsForTerminal(java.math.BigInteger)
2018-05-30 11:11:01,211 |  INFO  | 3114 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections/{id}],methods=[GET]}" onto public org.springframework.http.ResponseEntity<net.contargo.iris.connection.dto.MainRunConnectionDto> net.contargo.iris.connection.api.MainRunConnectionApiController.getConnection(java.lang.Long)
2018-05-30 11:11:01,211 |  INFO  | 3114 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections],methods=[POST]}" onto public org.springframework.http.ResponseEntity net.contargo.iris.connection.api.MainRunConnectionApiController.createConnection(net.contargo.iris.connection.dto.MainRunConnectionDto,org.springframework.validation.Errors)
2018-05-30 11:11:01,211 |  INFO  | 3114 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections/{id}],methods=[PUT]}" onto public org.springframework.http.ResponseEntity<net.contargo.iris.connection.dto.MainRunConnectionDto> net.contargo.iris.connection.api.MainRunConnectionApiController.updateConnection(net.contargo.iris.connection.dto.MainRunConnectionDto,org.springframework.validation.Errors)
2018-05-30 11:11:01,212 |  INFO  | 3115 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections/types],methods=[GET]}" onto public org.springframework.http.ResponseEntity<java.util.Map<net.contargo.iris.route.RouteType, java.lang.String>> net.contargo.iris.connection.api.MainRunConnectionApiController.getTypes()
2018-05-30 11:11:01,214 |  INFO  | 3117 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections/seaports],methods=[GET]}" onto public net.contargo.iris.connection.api.SeaportsResponse net.contargo.iris.connection.api.SeaportConnectionApiController.getSeaportsInConnections(net.contargo.iris.route.RouteCombo)
2018-05-30 11:11:01,217 |  INFO  | 3120 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/terminals],methods=[GET]}" onto public net.contargo.iris.terminal.api.TerminalsResponse net.contargo.iris.terminal.api.TerminalApiController.getTerminals(boolean)
2018-05-30 11:11:01,218 |  INFO  | 3121 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/terminals],methods=[GET],params=[seaportUid]}" onto public net.contargo.iris.terminal.api.TerminalsResponse net.contargo.iris.terminal.api.TerminalApiController.getTerminalsForSeaportAndRouteType(java.math.BigInteger,net.contargo.iris.route.RouteType)
2018-05-30 11:11:01,218 |  INFO  | 3121 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/terminals/{terminalUid}],methods=[GET]}" onto public net.contargo.iris.terminal.api.TerminalResponse net.contargo.iris.terminal.api.TerminalApiController.getTerminalByUid(java.math.BigInteger)
2018-05-30 11:11:01,219 |  INFO  | 3122 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/terminals/{terminalUid}],methods=[PUT]}" onto public org.springframework.http.ResponseEntity net.contargo.iris.terminal.api.TerminalApiController.syncTerminal(java.math.BigInteger,net.contargo.iris.terminal.dto.TerminalDto)
2018-05-30 11:11:01,222 |  INFO  | 3125 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/seaports],methods=[GET]}" onto public net.contargo.iris.seaport.api.SeaportsResponse net.contargo.iris.seaport.api.SeaportApiController.getSeaports(boolean)
2018-05-30 11:11:01,223 |  INFO  | 3126 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/seaports/{seaportuid}],methods=[GET]}" onto public net.contargo.iris.seaport.api.SeaportResponse net.contargo.iris.seaport.api.SeaportApiController.getSeaportById(java.math.BigInteger)
2018-05-30 11:11:01,223 |  INFO  | 3126 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/seaports/{seaportUid}],methods=[PUT]}" onto public org.springframework.http.ResponseEntity net.contargo.iris.seaport.api.SeaportApiController.syncSeaport(java.math.BigInteger,net.contargo.iris.seaport.dto.SeaportDto)
2018-05-30 11:11:01,227 |  INFO  | 3130 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/routes/{seaportuid}/{lat}:{lon}/{isroundtrip}],methods=[GET]}" onto public net.contargo.iris.route.api.RoutesResponse net.contargo.iris.route.api.RoutesApiController.getRoutes(java.math.BigInteger,double,double,boolean,net.contargo.iris.container.ContainerType,boolean,net.contargo.iris.route.RouteCombo)
2018-05-30 11:11:01,227 |  INFO  | 3130 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/routes],methods=[GET]}" onto public java.util.List<net.contargo.iris.route.dto.RoutingResultDto> net.contargo.iris.route.api.RoutesApiController.getRoutesWithCoordinates(double,double)
2018-05-30 11:11:01,228 |  INFO  | 3131 [main] | o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/connections/{seaportuid}/{lat}:{lon}/{isroundtrip}],methods=[GET]}" onto public net.contargo.iris.route.api.RoutesResponse net.contargo.iris.route.api.RoutesApiController.getSeaportRoutes(java.math.BigInteger,double,double,boolean,net.contargo.iris.container.ContainerType,boolean,net.contargo.iris.route.RouteCombo)
