GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Concierge :: Batch,org.eclipse.ditto.services.concierge.batch.actors,BatchCoordinatorActor.new Creator() {...},0,23,0,0,0,2,0,2,0,2
Eclipse Ditto :: Services :: Concierge :: Batch,org.eclipse.ditto.services.concierge.batch.actors,BatchSupervisorActor.new Creator() {...},0,18,0,0,0,2,0,2,0,2
Eclipse Ditto :: Services :: Concierge :: Batch,org.eclipse.ditto.services.concierge.batch.actors,BatchCoordinatorActor,82,569,2,8,9,168,13,38,11,35
Eclipse Ditto :: Services :: Concierge :: Batch,org.eclipse.ditto.services.concierge.batch.actors,BatchSupervisorActor,66,284,2,2,10,62,10,21,8,21
Eclipse Ditto :: Services :: Concierge :: Batch,org.eclipse.ditto.services.concierge.batch.actors,BatchSupervisorActor.BatchIdsSnapshotAdapter,50,3,2,0,14,1,4,1,3,1
Eclipse Ditto :: Services :: Concierge :: Batch,org.eclipse.ditto.services.concierge.batch,MongoBatchEventAdapter,0,13,0,0,0,5,0,2,0,2
