GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Services :: Models :: Streaming,org.eclipse.ditto.services.models.streaming,EntityIdWithRevision,13,0,0,0,1,0,1,0,1,0
Eclipse Ditto :: Services :: Models :: Streaming,org.eclipse.ditto.services.models.streaming,StreamingRegistry,8,25,0,0,2,7,1,3,1,3
Eclipse Ditto :: Services :: Models :: Streaming,org.eclipse.ditto.services.models.streaming,SudoStreamModifiedEntities,83,265,1,17,17,40,12,16,11,8
Eclipse Ditto :: Services :: Models :: Streaming,org.eclipse.ditto.services.models.streaming,AbstractEntityIdWithRevision,119,0,10,0,23,0,13,0,8,0
Eclipse Ditto :: Services :: Models :: Streaming,org.eclipse.ditto.services.models.streaming,EntityIdWithRevision.JsonFields,17,0,0,0,4,0,2,0,2,0
Eclipse Ditto :: Services :: Models :: Streaming,org.eclipse.ditto.services.models.streaming,BatchedEntityIdWithRevisions,33,136,0,10,3,28,4,14,4,9
