GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,BatchEvent,20,0,0,0,6,0,6,0,6,0
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,BatchEvent.JsonFields,6,79,0,0,2,12,1,1,1,1
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,AbstractBatchEvent,33,135,3,13,4,26,6,13,3,8
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,BatchCommandExecuted,26,149,0,8,3,30,2,14,2,10
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,BatchExecutionStarted,45,203,0,8,4,45,4,17,4,13
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,BatchEventRegistry,52,0,0,0,12,0,5,0,5,0
Eclipse Ditto :: Signals :: Events :: Batch,org.eclipse.ditto.signals.events.batch,BatchExecutionFinished,45,212,0,8,5,52,4,17,4,13
