GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
fair,org.molgenis.fair.controller.config,FairConfig,5,0,0,0,2,0,2,0,2,0
fair,org.molgenis.fair.controller,EntityModelWriter.new Object() {...},18,113,0,0,0,1,0,1,0,1
fair,org.molgenis.fair.controller,EntityModelWriter,36,468,3,24,4,90,3,28,0,13
fair,org.molgenis.fair.controller,FairController,0,133,0,2,0,22,0,9,0,8
