2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version AVS, 0.00 MBs  - score = 15
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version AVS, 0.00 MBs  - score = 15
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version AVS-SVA, 0.00 MBs - score = 1
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version AVS-SVA, 0.00 MBs - score = 1
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version 1080p.AMZN.WEB-DL.CasStudio, 0.00 MBs  - score = 6
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version 1080p.AMZN.WEB-DL.CasStudio, 0.00 MBs  - score = 6
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version 720p.AVS, 0.00 MBs  - score = 15
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version KILLERS, 304.00 MBs - score = 1
2018-04-16 09:16:57 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - Addic7ed - Evaluated Version KILLERS, 304.00 MBs - score = 1
2018-04-16 09:17:00 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubs - Evaluated Game of Thrones S06E04 720p.HDTV.AVS - score = 6
2018-04-16 09:17:00 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubs - Evaluated Game of Thrones S06E04 HDTV.FLEET - score = 20
2018-04-16 09:17:00 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubs - Evaluated Game of Thrones S06E04 1080p.HDTV.DON - score = 6
2018-04-16 09:17:01 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubs - Evaluated Game.of.Thrones.S06E04.HDTV.FLEET.fr.srt - score = 20
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubs - Evaluated Detroiters.S01E06.HDTV.WEB.MOROSE.br..srt - score = 1
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.ASAP) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.FQM) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (720p.BluRay.IMMERSE) - score = 15
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (720p HDTV.ASAP) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (720p HDTV) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (720p HDTV) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.ASAP) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (720p HDTV) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.fqm) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.FQM) - score = 6
2018-04-16 09:17:02 [main] INFO  c.g.m.subtitles.SubTitleEvaluator - TVSubtitlesNet - Evaluated Game of Thrones 2x01 (HDTV.fqm) - score = 6
